Move Number,Centipawn Loss
1,18.0
2,21.0
3,13.0
4,48.0
5,25.0
6,67.0
7,38.0
8,47.0
9,37.0
10,37.0
11,37.0
12,44.0
13,-55.00000000000001
14,-45.0
15,-105.0
16,4.0
17,-213.0
18,-145.0
19,-213.0
20,-138.0
21,-326.0
22,-328.0
23,-339.0
24,6.0
25,3.0
26,0.0
27,0.0
28,0.0
29,0.0
30,-1.0
31,1.0
32,19.0
33,1.0
34,69.0
35,9.0
36,17.0
37,-25.0
38,9.0
39,10.0
40,14.000000000000002
41,16.0
42,18.0
43,-37.0
44,-17.0
45,-73.0
46,-22.0
47,-136.0
48,-147.0
49,-146.0
50,-146.0
51,-159.0
52,-154.0
53,-153.0
54,-73.0
55,-397.0
56,-396.0
57,-434.0
58,-442.0
59,-424.0
60,-416.0
61,-519.0
62,-518.0
63,-513.0
64,-509.99999999999994
65,-507.0
66,-491.0
67,-490.00000000000006
68,-467.0
69,-455.0
70,-429.0
71,-500.0
72,-487.0
73,-595.0
74,-563.0
75,-593.0
76,-620.0
77,-617.0
78,-613.0
79,-602.0
80,-584.0
81,-587.0
82,-533.0
83,-1044.0
84,-1039.0
85,-1037.0
86,-1203.0
87,-1198.0
88,-1179.0
89,-1172.0
90,-1149.0
91,0.0
92,0.0
93,0.0
94,-5440.0
95,-1183.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
